Code,Company,Market Cap,Share Price,% Change
1.,JSE:SHP,Shoprite Holdings Limited,182.13B,308
2.,JSE:BID,Bid Corporation Limited,147.58B,450
3.,JSE:CLS,Clicks Group Limited,86.44B,366
4.,JSE:PPH,Pepkor Holdings Limited,81.03B,21
5.,JSE:WHL,Woolworths Holdings Limited,64.96B,65
6.,JSE:MRP,Mr Price Group,62.4B,240
7.,JSE:MCG,MultiChoice Group,48.98B,110
8.,JSE:TFG,The Foschini Group,48.41B,145
9.,JSE:TRU,Truworths International Limited,40.94B,99
10.,JSE:DCP,Dis-Chem Pharmacies Limited,30.95B,36
11.,JSE:SPP,Spar Group Limited,24.64B,127
12.,JSE:MTH,Motus Holdings Limited,21.39B,120
13.,JSE:ADH,ADvTECH Limited,18.38B,33
14.,JSE:PIK,Pick n Pay Stores Limited,17.55B,23
15.,JSE:ITE,Italtile Limited,16.79B,12
16.,JSE:TSG,Tsogo Sun Gaming,12.24B,11
17.,JSE:SUI,Sun International Limited,10.66B,42
18.,JSE:COH,Curro Holdings Limited,7.66B,13
19.,JSE:FBR,Famous Brands Limited,5.81B,57
20.,JSE:SDO,STADIO Holdings Limited,5.13B,6
21.,JSE:CSB,Cashbuild Limited,3.87B,165
22.,JSE:CAT,Caxton & CTP Publishers & Printers Limited,3.79B,10
23.,JSE:KAL,Kaap Agri Limited,3.59B,49
24.,JSE:HIL,Homechoice International plc,3.42B,32
25.,JSE:SUR,Spur Corporation Limited,3.23B,35
26.,JSE:LEW,Lewis Group Limited,3.07B,58
27.,JSE:CLH,City Lodge Hotels Limited,2.67B,4
28.,JSE:CMH,Combined Motor Holdings Limited,2.47B,33
29.,JSE:CHP,Choppies Enterprises Limited,1.37B,0
30.,JSE:EMN,E Media Holdings Limited - N Shares,1.24B,3
31.,JSE:HPR,Hosken Passenger Logistics and Rail Limited,922.2M,3
32.,JSE:AME,African Media Entertainment,284.95M,41
33.,JSE:RTN,Rex Trueform Group - N Shares,232.85M,12
34.,JSE:EMH,E Media Holdings Limited,201.64M,3
35.,JSE:AON,African and Overseas Enterprises - N Shares,138.71M,13
36.,JSE:RTO,Rex Trueform Group,42.37M,11
37.,JSE:NCS,Nictus Limited,42.22M,0
38.,JSE:AOO,African and Overseas Enterprises Limited,26.3M,16
